design_id,status,source_file,projection,width_mm,height_mm,thickness_mm,area_mm2,svg_file,error
15535,exact,parts/15535.dat,XZ,16.204,16.204,3.2,195.94,svg/15535.svg,
15672,exact,parts/15672.dat,XZ,8.2,16.2,9.6,128.0,svg/15672.svg,
17485,exact,parts/17485.dat,XZ,16.204,16.204,11.2,195.952,svg/17485.svg,
18651,exact,parts/18651.dat,XZ,24.2,6.6,6.4,116.163,svg/18651.svg,
18654,exact,parts/18654.dat,YZ,8.2,7.4,7.2,57.6,svg/18654.svg,
18674,exact,parts/18674.dat,XZ,16.204,16.204,4.8,195.94,svg/18674.svg,
21712,design_alias,parts/44728.dat,XY,16.2,17.8,11.2,270.159,svg/21712.svg,
22885,exact,parts/22885.dat,XY,16.2,17.8,9.6,271.36,svg/22885.svg,
22889,exact,parts/22889.dat,XZ,16.2,48.2,11.2,768.0,svg/22889.svg,
22890,exact,parts/22890.dat,XZ,23.402,8.2,6.4,162.485,svg/22890.svg,
24316,exact,parts/24316.dat,XZ,24.2,6.6,6.4,116.48,svg/24316.svg,
24375,exact,parts/24375.dat,XZ,7.404,7.404,5.6,39.677,svg/24375.svg,
24505,exact,parts/24505.dat,XY,26.112,26.112,7.7,435.311,svg/24505.svg,
25214,exact,parts/25214.dat,XZ,16.2,16.2,8.0,161.974,svg/25214.svg,
26169,design_alias,parts/4865b.dat,XY,16.2,9.8,8.0,153.3,svg/26169.svg,
26910,exact,parts/26910.dat,XZ,48.2,128.2,40.0,5888.0,svg/26910.svg,
26912,exact,parts/26912.dat,XZ,16.2,32.2,20.8,512.0,svg/26912.svg,
