SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount,GeometryStatus,Projection,WidthMM,HeightMM,ThicknessMM,StorageMode,RecommendedDepthMM,FloorWidthMM,FloorHeightMM,FloorAreaMM2
17101-1,4211063,14,Dark Stone Grey,Plates,3023,PLATE 1X2,/cdn/product-assets/element.img.lod5photo.192x192/4211063.jpg,1280,exact,XZ,16.2,8.2,4.8,deep_counted_bin,42.0,20.2,16.0,323.2
17101-1,4257526,4,Dark Stone Grey,Plates,4477,PLATE 1X10,/cdn/cs/set/assets/bltaec51b168f7eec0f/4257526.jpg,349,exact,XZ,80.2,8.2,4.8,edge_magazine,21.2,84.2,16.0,1347.2
17101-1,6039479,1,Dark Stone Grey,Plates,14417,PLATE 1X2 BALL Ã˜5.9 MIDDLE,/cdn/product-assets/element.img.lod5photo.192x192/6039479.jpg,609,exact,XZ,16.2,15.402,6.4,shadow_stack,8.4,20.2,19.4,391.92
17101-1,6123814,4,Dark Stone Grey,Plates,22890,PLATE 1X2 W/5.9 BALL END,/cdn/cs/set/assets/bltd2e536159e037b27/6123814.jpg,324,exact,XZ,23.402,8.2,6.4,shadow_stack,27.6,27.4,16.0,438.43
17101-1,6146225,1,Dark Stone Grey,Buildings & Furniture,26169,WALL ELEMENT 1X2X1,/cdn/product-assets/element.img.lod5photo.192x192/6146225.jpg,114,design_alias,XY,16.2,9.8,8.0,shadow_stack,10.0,20.2,16.0,323.2
17101-1,6278974,2,Dark Stone Grey,Bricks,48370,BRICK 2X2 Ã˜4.85 FEMALE,/cdn/product-assets/element.img.lod5photo.192x192/6278974.jpg,76,design_alias,XZ,25.8,16.2,11.2,shadow_stack,24.4,29.8,20.2,601.96
17101-1,6324639,4,Dark Stone Grey,Bricks,49132,2X1 ST.Ã˜4.9 HOLE W. HALF BEAM,/cdn/product-assets/element.img.lod5photo.192x192/6324639.jpg,184,design_alias,XZ,16.2,19.8,11.2,edge_magazine,42.0,20.2,23.8,480.76
17101-1,4182751,2,Dark Stone Grey,Miscellaneous,44224,"FLEX JOINT 6M, Ã˜24, MALE",/cdn/product-assets/element.img.lod5photo.192x192/4182751.jpg,70,exact,XZ,24.2,47.802,8.0,shadow_stack,18.0,28.2,51.8,1460.84
17101-1,4499858,4,Dark Stone Grey,Connectors,55013,CROSS AXLE 8M WITH END STOP,/cdn/product-assets/element.img.lod5photo.192x192/4499858.jpg,503,exact,XZ,64.2,6.6,6.4,edge_magazine,27.6,68.2,16.0,1091.2
17101-1,4508553,4,Dark Stone Grey,Connectors,59426,"CROSS AXLE 5,5  WITH STOP 1M.",/cdn/cs/set/assets/blt992504e083dfab2f/4508553.jpg,604,exact,XZ,44.2,6.6,6.4,shadow_stack,27.6,48.2,16.0,771.2
17101-1,6012451,2,Dark Stone Grey,Vehicles & Transportation,10928,"GEAR WHEEL T=8, M=1",/cdn/product-assets/element.img.lod5photo.192x192/6012451.jpg,328,exact,YZ,10.144,8.2,9.944,shadow_stack,21.89,16.0,16.0,256.0
17101-1,6015356,2,Dark Stone Grey,Connectors,11214,CON. BUSH 2M FR. + CROSS AXLE,/cdn/product-assets/element.img.lod5photo.192x192/6015356.jpg,496,exact,XY,24.2,6.6,6.4,shadow_stack,14.8,28.2,16.0,451.2
17101-1,6064131,1,Dark Stone Grey,Miscellaneous,57796,"RELEASE HOUSING 6X2X2, ASS.",/cdn/product-assets/element.img.lod5photo.192x192/6064131.jpg,24,relationship_alias,YZ,31.4,43.4,16.0,shadow_stack,18.0,35.4,47.4,1677.96
17101-1,6083620,4,Dark Stone Grey,Connectors,87083,CROSS AXLE 4M WITH END STOP,/cdn/product-assets/element.img.lod5photo.192x192/6083620.jpg,934,exact,XZ,32.2,6.6,6.4,shadow_stack,27.6,36.2,16.0,579.2
17101-1,6133119,2,Dark Stone Grey,Vehicles & Transportation,24505,GEAR WHEEL Z24,/cdn/product-assets/element.img.lod5photo.192x192/6133119.jpg,177,exact,XY,26.112,26.112,7.7,shadow_stack,17.4,30.11,30.11,906.73
17101-1,6167281,1,Dark Stone Grey,Connectors,27940,"BEAM, 1 MODULE W/ 2 CROSS AXLE, 180 DEG.",/cdn/product-assets/element.img.lod5photo.192x192/6167281.jpg,187,exact,XY,24.2,8.2,7.2,shadow_stack,9.2,28.2,16.0,451.2
17101-1,6099730,1,Flame Yellowish Orange,Bricks,15068,PLATE W. BOW  2X2X2/3,/cdn/product-assets/element.img.lod5photo.192x192/6099730.jpg,104,exact,XZ,16.2,16.2,6.4,shadow_stack,8.4,20.2,20.2,408.04
17101-1,6133930,2,Flame Yellowish Orange,Bricks,64225,BRICK 4X3 W. BOW/ANGLE,/cdn/product-assets/element.img.lod5photo.192x192/6133930.jpg,9,exact,XZ,32.277,24.2,9.6,shadow_stack,21.2,36.28,28.2,1023.03
17101-1,4599538,2,Light Purple,Bricks,54200,"ROOF TILE 1X1X2/3, ABS",/cdn/product-assets/element.img.lod5photo.192x192/4599538.jpg,66,exact,XZ,8.2,8.2,6.24,shadow_stack,14.48,16.0,16.0,256.0
17101-1,6101937,2,Light Purple,Plates,11203,FLAT TILE 2X2 INV.,/cdn/product-assets/element.img.lod5photo.192x192/6101937.jpg,10,exact,XZ,16.2,16.2,4.8,shadow_stack,11.6,20.2,20.2,408.04
17101-1,6136419,2,Medium Azur,Plates,18674,PLATE ROUND W. 1 KNOB,/cdn/product-assets/element.img.lod5photo.192x192/6136419.jpg,137,exact,XZ,16.204,16.204,4.8,shadow_stack,11.6,20.2,20.2,408.21
17101-1,6138487,1,Medium Azur,Plates,2817,TECHNIC DOUB. BEARING PL. 2X2,/cdn/product-assets/element.img.lod5photo.192x192/6138487.jpg,12,exact,XZ,16.2,16.2,9.6,shadow_stack,11.6,20.2,20.2,408.04
17101-1,4211360,2,Medium Stone Grey,Plates,2445,PLATE 2X12,/cdn/product-assets/element.img.lod5photo.192x192/4211360.jpg,293,exact,XZ,96.2,16.2,4.8,shadow_stack,11.6,100.2,20.2,2024.04
17101-1,4211397,4,Medium Stone Grey,Plates,3022,PLATE 2X2,/cdn/product-assets/element.img.lod5photo.192x192/4211397.jpg,1252,exact,XZ,16.2,16.2,4.8,shadow_stack,21.2,20.2,20.2,408.04
